1,Зимин ЕС,2023-02-01 14:51:00,Автор текста (ФИО) ставит проблему (чего?)
2,Вопрос ЕС,2020-02-21 11:21:00,Автор текста (ФИО) размышляет над проблемой (чего?)
3,Текста АМ,2023-01-03 19:53:00,Автор текста (ФИО) предлагает своим читателям задуматься над проблемой (чего)
4,Мною ЬХ,2023-02-04 10:13:00,В центре внимания автора текста (ФИО) проблема (чего?)
5,Вес АХ,2023-02-05 12:36:00,Проблемный вопрос. Этой проблеме посвящен текст автора (ФИО)
6,Место ВУ,2024-04-06 05:12:00,Именно эта проблема привлекла внимание автора текста (ФИО)
7,ХАХАХ ХА,2023-02-05 08:23:00,Подводка к проблеме. В предложенном для анализа тексте ФИО ставит проблему (чего?)
8,ААААА БВ,2023-02-09 00:23:00,В качестве примера автор рассматривает
9,НЕТ ДА,2023-11-09 02:43:00,Проблема раскрывается автором на примере
10,1 QT,2023-12-15 15:15:00,AXAXAXAXXAXAAXAXAXXAXAXAXAXAAXAXAXAXAX
11,2 QY,2023-12-15 15:15:00,HAHAHAHAHHAHAHAH
12,3 QT,2023-12-15 15:15:00,AXAXAXAXXAXAAXAXAXXAXAXAXAXAAXAXAXAXAX
13,4 QY,2023-12-15 15:15:00,HAHAHAHAHHAHAHAH
14,T E S T,2027-12-15 15:15:00,MDA
15,T E S T,2027-12-15 15:15:00,MDA
